paper1,paper2,cocitation_strength
https://openalex.org/W2214124115,https://openalex.org/W2803456993,9
https://openalex.org/W2132572134,https://openalex.org/W2574314595,9
https://openalex.org/W3184750000,https://openalex.org/W4213209390,9
https://openalex.org/W2404141049,https://openalex.org/W2803456993,9
https://openalex.org/W2292624613,https://openalex.org/W3119033176,9
https://openalex.org/W2326394492,https://openalex.org/W2409632422,9
https://openalex.org/W2404141049,https://openalex.org/W2515075153,9
https://openalex.org/W2107583208,https://openalex.org/W2558617245,9
https://openalex.org/W2797086257,https://openalex.org/W2810134117,9
https://openalex.org/W2292624613,https://openalex.org/W3005981547,9
https://openalex.org/W2007201594,https://openalex.org/W2094255732,9
https://openalex.org/W2409632422,https://openalex.org/W2919467037,9
https://openalex.org/W2132572134,https://openalex.org/W2803456993,9
https://openalex.org/W2803456993,https://openalex.org/W3119033176,8
https://openalex.org/W2409632422,https://openalex.org/W3119033176,8
https://openalex.org/W2129236002,https://openalex.org/W2292624613,8
https://openalex.org/W2574314595,https://openalex.org/W2803456993,8
https://openalex.org/W2107583208,https://openalex.org/W2292624613,8
https://openalex.org/W2789275349,https://openalex.org/W2797086257,8
https://openalex.org/W2129236002,https://openalex.org/W2132572134,8
https://openalex.org/W2129236002,https://openalex.org/W2803456993,8
https://openalex.org/W2574314595,https://openalex.org/W2597608082,8
https://openalex.org/W2404141049,https://openalex.org/W3023350488,8
https://openalex.org/W2515075153,https://openalex.org/W2919467037,8
https://openalex.org/W2803456993,https://openalex.org/W2810134117,8
https://openalex.org/W2292624613,https://openalex.org/W2810134117,8
https://openalex.org/W2292624613,https://openalex.org/W2797086257,8
https://openalex.org/W2107583208,https://openalex.org/W3082361867,8
https://openalex.org/W2805382151,https://openalex.org/W2810134117,8
https://openalex.org/W2214124115,https://openalex.org/W2409632422,8
https://openalex.org/W2803456993,https://openalex.org/W3005981547,8
https://openalex.org/W2099504029,https://openalex.org/W2596589504,8
https://openalex.org/W2326394492,https://openalex.org/W2919467037,8
https://openalex.org/W2099504029,https://openalex.org/W2568619829,8
https://openalex.org/W2132572134,https://openalex.org/W2919467037,8
https://openalex.org/W2404141049,https://openalex.org/W2567967956,7
https://openalex.org/W2409632422,https://openalex.org/W2567967956,7
https://openalex.org/W2292624613,https://openalex.org/W2567967956,7
https://openalex.org/W2404141049,https://openalex.org/W2810134117,7
https://openalex.org/W2597608082,https://openalex.org/W2919467037,7
https://openalex.org/W2404141049,https://openalex.org/W2805382151,7
https://openalex.org/W2515075153,https://openalex.org/W2797086257,7
https://openalex.org/W2129236002,https://openalex.org/W3119033176,7
https://openalex.org/W2162084786,https://openalex.org/W3005981547,7
https://openalex.org/W2919467037,https://openalex.org/W3023350488,7
https://openalex.org/W2099504029,https://openalex.org/W3194468518,7
https://openalex.org/W2472430800,https://openalex.org/W2919467037,7
https://openalex.org/W2404141049,https://openalex.org/W2596589504,7
https://openalex.org/W2292624613,https://openalex.org/W2404141049,7
