paper1,paper2,coupling_strength
https://openalex.org/W4224986677,https://openalex.org/W4225000207,20
https://openalex.org/W4225109361,https://openalex.org/W4225162252,10
https://openalex.org/W4224982650,https://openalex.org/W4225110307,10
https://openalex.org/W4224985466,https://openalex.org/W4224990374,10
https://openalex.org/W4225002467,https://openalex.org/W4225009750,9
https://openalex.org/W4225139328,https://openalex.org/W4225142345,9
https://openalex.org/W4225001124,https://openalex.org/W4225003795,9
https://openalex.org/W4224987089,https://openalex.org/W4225120163,8
https://openalex.org/W4224992620,https://openalex.org/W4225103613,8
https://openalex.org/W4225017028,https://openalex.org/W4225098379,8
https://openalex.org/W4221164056,https://openalex.org/W4224991060,7
https://openalex.org/W4225000233,https://openalex.org/W4225085232,7
https://openalex.org/W4224992082,https://openalex.org/W4225016353,7
https://openalex.org/W4224990374,https://openalex.org/W4225120163,7
https://openalex.org/W4224998622,https://openalex.org/W4225000207,7
https://openalex.org/W4224998981,https://openalex.org/W4225108991,6
https://openalex.org/W4221164056,https://openalex.org/W4225109361,6
https://openalex.org/W4224991060,https://openalex.org/W4225109361,6
https://openalex.org/W4221119676,https://openalex.org/W4224984048,6
https://openalex.org/W4224987089,https://openalex.org/W4224990374,6
https://openalex.org/W4224986677,https://openalex.org/W4224998622,6
https://openalex.org/W4224998981,https://openalex.org/W4225000233,6
https://openalex.org/W4224984058,https://openalex.org/W4225011183,6
https://openalex.org/W4224992620,https://openalex.org/W4225156178,6
https://openalex.org/W4225103613,https://openalex.org/W4225156178,5
https://openalex.org/W4224999658,https://openalex.org/W4225016353,5
https://openalex.org/W4225003999,https://openalex.org/W4225110307,5
https://openalex.org/W4225003795,https://openalex.org/W4225115449,5
https://openalex.org/W4225014345,https://openalex.org/W4225103181,5
https://openalex.org/W4225013403,https://openalex.org/W4225109361,5
https://openalex.org/W4224989671,https://openalex.org/W4225096941,5
https://openalex.org/W4225011935,https://openalex.org/W4225115595,5
https://openalex.org/W4224991146,https://openalex.org/W4225004558,4
https://openalex.org/W4212894176,https://openalex.org/W4224988227,4
https://openalex.org/W4224992194,https://openalex.org/W4225012795,4
https://openalex.org/W4224992683,https://openalex.org/W4224999418,4
https://openalex.org/W4224992683,https://openalex.org/W4225006216,4
https://openalex.org/W4221029209,https://openalex.org/W4224984653,4
https://openalex.org/W4224985652,https://openalex.org/W4224995359,4
https://openalex.org/W4224982779,https://openalex.org/W4225103181,4
https://openalex.org/W4224995359,https://openalex.org/W4225017028,4
https://openalex.org/W4224998981,https://openalex.org/W4225017028,4
https://openalex.org/W4225108150,https://openalex.org/W4225115449,4
https://openalex.org/W4225163156,https://openalex.org/W4225166214,4
https://openalex.org/W4224979523,https://openalex.org/W4224992194,4
https://openalex.org/W4224987089,https://openalex.org/W4225011401,4
https://openalex.org/W4224991000,https://openalex.org/W4225115595,4
https://openalex.org/W4224984058,https://openalex.org/W4224998981,4
https://openalex.org/W4225000233,https://openalex.org/W4225108991,4
https://openalex.org/W4224998981,https://openalex.org/W4225103181,4
https://openalex.org/W4224998981,https://openalex.org/W4225107234,4
https://openalex.org/W4225082883,https://openalex.org/W4225162956,4
https://openalex.org/W4220936192,https://openalex.org/W4225009750,4
https://openalex.org/W4224984797,https://openalex.org/W4224986677,4
https://openalex.org/W4224986677,https://openalex.org/W4225156178,4
https://openalex.org/W4224990314,https://openalex.org/W4224999418,4
https://openalex.org/W4224984797,https://openalex.org/W4225013489,4
https://openalex.org/W4224999418,https://openalex.org/W4225082673,4
https://openalex.org/W4224992918,https://openalex.org/W4225013404,4
https://openalex.org/W4225107257,https://openalex.org/W4225115449,3
https://openalex.org/W4224984797,https://openalex.org/W4224990374,3
https://openalex.org/W4225008289,https://openalex.org/W4225102742,3
https://openalex.org/W4212894176,https://openalex.org/W4225154610,3
https://openalex.org/W4224985652,https://openalex.org/W4225017028,3
